
Interpolated points
-60.07184	-62.90529	-1002.8	0.00	0
-60.07025	-62.90486	-993.5	0.09	0.09366
-60.06866	-62.90443	-992.7	0.19	0.09366
-60.06706	-62.90400	-991.1	0.28	0.09366
-60.06547	-62.90358	-991.1	0.37	0.09366
-60.06388	-62.90315	-987.4	0.47	0.09366
-60.06228	-62.90272	-977.2	0.56	0.09366
-60.06069	-62.90230	-967.6	0.66	0.09366
-60.05910	-62.90187	-969.9	0.75	0.09366
-60.05750	-62.90144	-983.0	0.84	0.09366
-60.05591	-62.90101	-993.5	0.94	0.09366
-60.05432	-62.90059	-998.9	1.03	0.09366
-60.05272	-62.90016	-993.0	1.12	0.09366
-60.05113	-62.89973	-981.0	1.22	0.09366
-60.04954	-62.89930	-977.1	1.31	0.09366
-60.04794	-62.89888	-988.7	1.40	0.09366
-60.04635	-62.89845	-1004.0	1.50	0.09366
-60.04476	-62.89802	-1007.9	1.59	0.09366
-60.04316	-62.89759	-987.5	1.69	0.09366
-60.04157	-62.89717	-959.2	1.78	0.09366
-60.03998	-62.89674	-955.4	1.87	0.09366
-60.03839	-62.89631	-958.7	1.97	0.09366
-60.03679	-62.89588	-948.8	2.06	0.09366
-60.03520	-62.89546	-946.3	2.15	0.09366
-60.03361	-62.89503	-956.7	2.25	0.09366
-60.03201	-62.89460	-967.5	2.34	0.09366
-60.03042	-62.89417	-957.1	2.44	0.09366
-60.02883	-62.89375	-926.4	2.53	0.09366
-60.02724	-62.89332	-888.5	2.62	0.09366
-60.02564	-62.89289	-859.0	2.72	0.09366
-60.02405	-62.89246	-845.2	2.81	0.09366
-60.02246	-62.89204	-856.8	2.90	0.09366
-60.02087	-62.89161	-884.9	3.00	0.09366
-60.01927	-62.89118	-912.3	3.09	0.09366
-60.01768	-62.89075	-939.0	3.18	0.09366
-60.01609	-62.89032	-953.3	3.28	0.09366
-60.01450	-62.88990	-944.5	3.37	0.09366
-60.01291	-62.88947	-920.3	3.47	0.09366
-60.01131	-62.88904	-893.8	3.56	0.09366
-60.00972	-62.88861	-879.7	3.65	0.09366
-60.00813	-62.88819	-875.4	3.75	0.09366
-60.00654	-62.88776	-873.9	3.84	0.09366
-60.00495	-62.88733	-877.2	3.93	0.09366
-60.00335	-62.88690	-977.4	4.03	0.09366
-60.00176	-62.88647	-972.5	4.12	0.09366
-60.00017	-62.88605	-968.0	4.21	0.09366
-59.99858	-62.88562	-962.7	4.31	0.09366
-59.99699	-62.88519	-956.7	4.40	0.09366
-59.99540	-62.88476	-950.0	4.50	0.09366
-59.99380	-62.88433	-942.5	4.59	0.09366
-59.99221	-62.88391	-933.7	4.68	0.09366
-59.99062	-62.88348	-923.2	4.78	0.09366
-59.98903	-62.88305	-911.0	4.87	0.09366
-59.98744	-62.88262	-897.3	4.96	0.09366
-59.98585	-62.88219	-882.1	5.06	0.09366
-59.98426	-62.88176	-865.3	5.15	0.09366
-59.98267	-62.88134	-845.9	5.24	0.09366
-59.98107	-62.88091	-824.6	5.34	0.09366
-59.97948	-62.88048	-802.6	5.43	0.09366
-59.97789	-62.88005	-781.4	5.53	0.09366
-59.97630	-62.87962	-762.7	5.62	0.09366
-59.97471	-62.87920	-747.0	5.71	0.09366
-59.97312	-62.87877	-733.7	5.81	0.09366
-59.97153	-62.87834	-722.6	5.90	0.09366
-59.96994	-62.87791	-713.7	5.99	0.09366
