-58.283		-62.38879444
-58.28605278	-62.3899
-58.28916944	-62.39095833
-58.29231111	-62.39200556
-58.29544722	-62.39305556
-58.29859444	-62.3941
-58.30173056	-62.39515556
-58.30485556	-62.39621667
-58.30799167	-62.39726944
-58.31114444	-62.39831667
-58.31427778	-62.39936111
-58.31741667	-62.40040556
-58.32054722	-62.40146667
-58.323675	-62.40251667
-58.32681944	-62.40356111
-58.32995833	-62.40460833
-58.33310556	-62.40565556
-58.33623056	-62.40671389
-58.33935556	-62.40777222
-58.34248611	-62.408825
-58.34562222	-62.40987778
-58.34876667	-62.41092778
-58.35191389	-62.411975
-58.35505278	-62.413025
-58.35809722	-62.41412778
-58.36126389	-62.41516667
-58.36439722	-62.41621944
-58.36754444	-62.41726389
-58.37059167	-62.41837222
-58.37371944	-62.41943056
-58.37687222	-62.42046389
-58.37999722	-62.42152778
-58.383125	-62.42258333
-58.386275	-62.42363056
-58.38943333	-62.42467222
-58.39254722	-62.42573333
-58.39565556	-62.42680833
-58.39877778	-62.42786944
-58.40191667	-62.428925
-58.40506111	-62.42997222
-58.40820556	-62.43101667
-58.41135278	-62.43206667
-58.4145	-62.43311667
-58.41765556	-62.43416111
-58.42078889	-62.43521389
-58.42391389	-62.43626944
-58.42704167	-62.43733056
-58.4302	-62.43836944
-58.4333	-62.43944167
-58.43645	-62.44049167
-58.43960278	-62.44153056
-58.44277778	-62.44256111
-58.445875	-62.44363611
-58.44901944	-62.44469167
-58.45214722	-62.44575
-58.45529167	-62.44679722
-58.45842778	-62.44785556
-58.46156667	-62.44890278
-58.46469722	-62.44996389
-58.46784167	-62.45101111
-58.47097778	-62.45207222
-58.47412222	-62.45311667
-58.47724722	-62.45417778
-58.48040556	-62.45521944
-58.48355278	-62.45626667
-58.4867	-62.45731667
-58.48985556	-62.45835556
-58.49299444	-62.45941389
-58.49610833	-62.46048333
-58.49924444	-62.46153889
-58.50241389	-62.46256944
-58.50555	-62.46362778
-58.50866111	-62.4647
-58.51186111	-62.46571389
-58.51501389	-62.46676389
-58.51814444	-62.46782222
-58.52126944	-62.46888889
-58.52440556	-62.46994444
-58.52756667	-62.47098611
-58.53070833	-62.47203611
-58.53386111	-62.47307778
-58.53702778	-62.47411944
-58.54016944	-62.475175
-58.54329167	-62.47623333
-58.54644722	-62.47728056
-58.54958889	-62.47833056
-58.55271944	-62.47939167
-58.55585833	-62.48044722
-58.55905556	-62.48145833
-58.56220833	-62.4825
-58.56535556	-62.48354722
-58.56849444	-62.48460556
-58.57163333	-62.48566111
-58.57478056	-62.48671667
-58.57791944	-62.48776944
-58.58106667	-62.48881944
-58.58421389	-62.48986944
-58.58735556	-62.490925
-58.59051389	-62.49196944
-58.59365833	-62.49301944
-58.59679167	-62.494075
-58.59991667	-62.49514167
-58.603075	-62.49618611
-58.60624167	-62.49722222
-58.60938056	-62.49828333
-58.61254167	-62.49932222
