
-60.0184	-62.9529	-1002.8	0	0.00
-59.8340	-62.8347	-589.1	11.33	11.33
-59.7500	-62.8920	-626.3	16.39	5.06
-59.6160	-62.8831	-983.7	20.58	4.18
-59.3660	-62.7904	-1103.3	25.28	4.71
-59.4198	-62.7641	-1434.9	35.84	10.56
-59.2064	-62.7024	-1372.4	45.53	9.69
-59.2381	-62.7428	-1369.5	48.93	3.40
-59.0797	-62.6970	-1242.4	58.29	9.37
-58.9280	-62.6275	-1076.4	63.16	4.87
-58.8279	-62.6999	-1249.1	69.33	6.17
-58.7445	-62.5611	-1415.4	77.51	8.18
-58.6278	-62.5640	-1646.4	83.96	6.45
-58.5528	-62.4122	-1334.9	94.08	10.12
-58.3460	-62.3146	-1488.4	107.30	13.23

